"adjudicated_sample_id","source_branch","source_file","source_sheet","source_sheet_rows","source_sheet_rows_model","sample_id_raw","sample_id_base","ring","feather_type_raw","feather_type","is_repeat_assay","amount_mg","cn_mass_ratio","sex","tag_id_adjusted","tag_id_raw_examples","status","status_bin","migratory_status_comment","longitude_capture","latitude_capture","status_known","source_phenotype_row_ids","source_phenotype_row_count","sample_identifier_examples","n_retained_assay_rows","n_model_contributing_rows","adjudication_method","assay_qc_variant_name","assay_qc_manual_review_pending","assay_qc_manual_review_reason","assay_qc_manual_review_notes","raw_normalised_d13c","raw_normalised_d15n","audit_normalised_d13c","audit_normalised_d15n","adjudicated_normalised_d13c","adjudicated_normalised_d15n","source_measurement_ids_normalised_d13c","source_measurement_ids_normalised_d15n","source_measurement_ids_model_normalised_d13c","source_measurement_ids_model_normalised_d15n","assay_qc_variant_row_action_normalised_d13c","assay_qc_variant_row_action_normalised_d15n","assay_qc_action_normalised_d13c","assay_qc_action_normalised_d15n","assay_qc_reason_normalised_d13c","assay_qc_reason_normalised_d15n","assay_qc_evidence_source_normalised_d13c","assay_qc_evidence_source_normalised_d15n","assay_qc_decision_ids_normalised_d13c","assay_qc_decision_ids_normalised_d15n","assay_qc_repeat_pair_detected_normalised_d13c","assay_qc_repeat_pair_detected_normalised_d15n","assay_qc_repeat_detection_sources_normalised_d13c","assay_qc_repeat_detection_sources_normalised_d15n","assay_qc_repeat_detection_pattern_normalised_d13c","assay_qc_repeat_detection_pattern_normalised_d15n","assay_qc_repeat_resolution_status_normalised_d13c","assay_qc_repeat_resolution_status_normalised_d15n","assay_qc_contributes_to_model_value_normalised_d13c","assay_qc_contributes_to_model_value_normalised_d15n","assay_qc_model_source_rows_normalised_d13c","assay_qc_model_source_rows_normalised_d15n","source_measurement_ids"
"live_model_CP16678_2024.12.13_primary.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","71","71","CP16678_2024-12-13_primary feather","CP16678_2024-12-13_primary feather","CP16678","primary","Primary",FALSE,0.256,3.42958328490398,"F",,,"unknown","unknown",,169.20916903764,-45.3364670276642,FALSE,"live_pheno_116|live_pheno_134",2,"CP16678_2024-12-13",1,1,"single_raw","sensitivity",FALSE,,,-23.3576076214573,4.31363292039113,-23.3576076214573,4.31363292039113,-23.3576076214573,4.31363292039113,"live_measurement_0120","live_measurement_0119","live_measurement_0120","live_measurement_0119","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"71","71","live_measurement_0119|live_measurement_0120"
"live_model_CP16681_2024.12.16_breast.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","72","72","CP16681_2024-12-16_breast feather","CP16681_2024-12-16_breast feather","CP16681","breast","Breast",FALSE,0.194,3.31800617986908,"M",,,"unknown","unknown",,175.731553025544,-39.2938620038331,FALSE,"live_pheno_117|live_pheno_135",2,"CP16681_2024-12-16",1,1,"single_raw","sensitivity",FALSE,,,-11.5864767757948,12.329991989426,-11.5864767757948,12.329991989426,-11.5864767757948,12.329991989426,"live_measurement_0122","live_measurement_0121","live_measurement_0122","live_measurement_0121","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"72","72","live_measurement_0121|live_measurement_0122"
"live_model_CP16681_2024.12.16_primary.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","73","73","CP16681_2024-12-16_primary feather","CP16681_2024-12-16_primary feather","CP16681","primary","Primary",FALSE,0.204,3.47189636684835,"M",,,"unknown","unknown",,175.731553025544,-39.2938620038331,FALSE,"live_pheno_117|live_pheno_135",2,"CP16681_2024-12-16",1,1,"single_raw","sensitivity",FALSE,,,-24.8246117480203,2.12613609965154,-24.8246117480203,2.12613609965154,-24.8246117480203,2.12613609965154,"live_measurement_0124","live_measurement_0123","live_measurement_0124","live_measurement_0123","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"73","73","live_measurement_0123|live_measurement_0124"
"live_model_CP16685_2024.12.18_breast.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","74","74","CP16685_2024-12-18_breast feather","CP16685_2024-12-18_breast feather","CP16685","breast","Breast",FALSE,0.258,3.39791612671006,"F",,,"unknown","unknown",,175.731553025544,-39.2938620038331,FALSE,"live_pheno_118|live_pheno_136",2,"CP16685_2024-12-18",1,1,"single_raw","sensitivity",FALSE,,,-12.729150059312,15.3213517395468,-12.729150059312,15.3213517395468,-12.729150059312,15.3213517395468,"live_measurement_0126","live_measurement_0125","live_measurement_0126","live_measurement_0125","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"74","74","live_measurement_0125|live_measurement_0126"
"live_model_CP16685_2024.12.18_primary.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","75","75","CP16685_2024-12-18_primary feather","CP16685_2024-12-18_primary feather","CP16685","primary","Primary",FALSE,0.363,3.33187844659801,"F",,,"unknown","unknown",,175.731553025544,-39.2938620038331,FALSE,"live_pheno_118|live_pheno_136",2,"CP16685_2024-12-18",1,1,"single_raw","sensitivity",FALSE,,,-23.9469843990072,5.32339087595626,-23.9469843990072,5.32339087595626,-23.9469843990072,5.32339087595626,"live_measurement_0128","live_measurement_0127","live_measurement_0128","live_measurement_0127","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"75","75","live_measurement_0127|live_measurement_0128"
"live_model_CP16686_2025.01.07_breast.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","76","76","CP16686_2025-01-07_breast feather","CP16686_2025-01-07_breast feather","CP16686","breast","Breast",FALSE,0.22,3.40128142221385,"F",,,"unknown","unknown",,169.211730966344,-45.3636030200869,FALSE,"live_pheno_119|live_pheno_137",2,"CP16686_2025-01-07",1,1,"single_raw","sensitivity",FALSE,,,-22.8282194800399,11.6102601762633,-22.8282194800399,11.6102601762633,-22.8282194800399,11.6102601762633,"live_measurement_0130","live_measurement_0129","live_measurement_0130","live_measurement_0129","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"76","76","live_measurement_0129|live_measurement_0130"
"live_model_CP16686_2025.01.07_primary.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","77","77","CP16686_2025-01-07_primary feather","CP16686_2025-01-07_primary feather","CP16686","primary","Primary",FALSE,0.201,3.44574580315402,"F",,,"unknown","unknown",,169.211730966344,-45.3636030200869,FALSE,"live_pheno_119|live_pheno_137",2,"CP16686_2025-01-07",1,1,"single_raw","sensitivity",FALSE,,,-22.9320068549817,5.19957463852285,-22.9320068549817,5.19957463852285,-22.9320068549817,5.19957463852285,"live_measurement_0132","live_measurement_0131","live_measurement_0132","live_measurement_0131","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"77","77","live_measurement_0131|live_measurement_0132"
"live_model_CP16693_2024.09.30_breast.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","78|79","79","CP16693_2024-09-30_breast feather|CP16693_2024-09-30_breast feather_rpt","CP16693_2024-09-30_breast feather","CP16693","breast","Breast",TRUE,0.2025,3.36312580566798,"F","266394","266394","SI migrant","migrant","PTT revealed that the bird left the breeding grounds at Birdlings Flat in late October and went to the agricultural fields near the Rakaia River where it stayed until July, when it returned to Birdling's Flat",172.608074,-43.830353,TRUE,"live_pheno_052|live_pheno_062",2,"CP16693_2024-09-30",2,1,"explicit_use_selected_row","sensitivity",FALSE,,,-24.092719850336,10.0992781862487,-24.092719850336,10.0992781862487,-23.9903077104457,10.3932300598609,"live_measurement_0134|live_measurement_0136","live_measurement_0133|live_measurement_0135","live_measurement_0136","live_measurement_0135","include","include","keep","keep","Repeat-analysis comment explicitly instructs use of the C value from this assay row.|Retained as a valid repeat observation, but an explicit workbook comment selected another row for the modelling value.","Repeat-analysis comment explicitly instructs use of the N value from this assay row.|Retained as a valid repeat observation, but an explicit workbook comment selected another row for the modelling value.","comment column|green raw","comment column|green raw","aqc_0025|aqc_0026","aqc_0023|aqc_0024",TRUE,TRUE,"green formatting|_rpt suffix|comments","green formatting|_rpt suffix|comments","rpt_only_green","rpt_only_green","resolved_comment_selected_row","resolved_comment_selected_row",TRUE,TRUE,"79","79","live_measurement_0133|live_measurement_0135|live_measurement_0134|live_measurement_0136"
"live_model_CP16693_2024.09.30_primary.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","80","80","CP16693_2024-09-30_primary feather","CP16693_2024-09-30_primary feather","CP16693","primary","Primary",FALSE,0.26,3.50217645091409,"F","266394","266394","SI migrant","migrant","PTT revealed that the bird left the breeding grounds at Birdlings Flat in late October and went to the agricultural fields near the Rakaia River where it stayed until July, when it returned to Birdling's Flat",172.608074,-43.830353,TRUE,"live_pheno_052|live_pheno_062",2,"CP16693_2024-09-30",1,1,"single_raw","sensitivity",FALSE,,,-23.5712912185321,9.98347458645412,-23.5712912185321,9.98347458645412,-23.5712912185321,9.98347458645412,"live_measurement_0138","live_measurement_0137","live_measurement_0138","live_measurement_0137","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"80","80","live_measurement_0137|live_measurement_0138"
"live_model_CP16784_2024.10.16_breast.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","81","81","CP16784_2024-10-16_breast feather","CP16784_2024-10-16_breast feather","CP16784","breast","Breast",FALSE,0.256,3.35108450728275,"F","266454","266454","resident","resident","PTT revealed that the bird moved to Waipapa Point for two weeks (Nov 13 to Dec 1) before returning to Tiwai Point / Awarua Bay for the remainder of the year",168.433454,-46.606459,TRUE,"live_pheno_078|live_pheno_100",2,"CP16784_2024-10-16",1,1,"single_raw","sensitivity",FALSE,,,-17.7753149745893,12.4697845155605,-17.7753149745893,12.4697845155605,-17.7753149745893,12.4697845155605,"live_measurement_0140","live_measurement_0139","live_measurement_0140","live_measurement_0139","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"81","81","live_measurement_0139|live_measurement_0140"
"live_model_CP16784_2024.10.16_primary.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","82","82","CP16784_2024-10-16_primary feather","CP16784_2024-10-16_primary feather","CP16784","primary","Primary",FALSE,0.217,3.57774690055043,"F","266454","266454","resident","resident","PTT revealed that the bird moved to Waipapa Point for two weeks (Nov 13 to Dec 1) before returning to Tiwai Point / Awarua Bay for the remainder of the year",168.433454,-46.606459,TRUE,"live_pheno_078|live_pheno_100",2,"CP16784_2024-10-16",1,1,"single_raw","sensitivity",FALSE,,,-20.600078291815,10.0258155122885,-20.600078291815,10.0258155122885,-20.600078291815,10.0258155122885,"live_measurement_0142","live_measurement_0141","live_measurement_0142","live_measurement_0141","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"82","82","live_measurement_0141|live_measurement_0142"
"live_model_CP16815_2024.10.10_breast.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","83","83","CP16815_2024-10-10_breast feather","CP16815_2024-10-10_breast feather","CP16815","breast","Breast",FALSE,0.223,3.45153596485853,"M","266412","266412","AU migrant","migrant","PTT revealed this bird migrating to the mouth of the Manning River, New South Wales (arrival: May 29) - after breeding season it staged at the Clutha River Mouth April 23 to May 20.",170.143369,-43.736814,TRUE,"live_pheno_011|live_pheno_028",2,"CP16815_2024-10-10",1,1,"single_raw","sensitivity",FALSE,,,-11.5019399887621,10.336486782594,-11.5019399887621,10.336486782594,-11.5019399887621,10.336486782594,"live_measurement_0144","live_measurement_0143","live_measurement_0144","live_measurement_0143","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"83","83","live_measurement_0143|live_measurement_0144"
"live_model_CP16815_2024.10.10_primary.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","84","84","CP16815_2024-10-10_primary feather","CP16815_2024-10-10_primary feather","CP16815","primary","Primary",FALSE,0.237,3.49483567242185,"M","266412","266412","AU migrant","migrant","PTT revealed this bird migrating to the mouth of the Manning River, New South Wales (arrival: May 29) - after breeding season it staged at the Clutha River Mouth April 23 to May 20.",170.143369,-43.736814,TRUE,"live_pheno_011|live_pheno_028",2,"CP16815_2024-10-10",1,1,"single_raw","sensitivity",FALSE,,,-22.1190010157748,3.38283743018004,-22.1190010157748,3.38283743018004,-22.1190010157748,3.38283743018004,"live_measurement_0146","live_measurement_0145","live_measurement_0146","live_measurement_0145","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"84","84","live_measurement_0145|live_measurement_0146"
"live_model_CP16906_2024.10.08_breast.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","85","85","CP16906_2024-10-08_breast feather","CP16906_2024-10-08_breast feather","CP16906","breast","Breast",FALSE,0.275,3.32597487741899,"F",,,"resident","resident","Ailsa observation",173.681912,-42.392022,TRUE,"live_pheno_079|live_pheno_101",2,"CP16906_2024-10-08",1,1,"single_raw","sensitivity",FALSE,,,-16.5028394162731,13.1400023297407,-16.5028394162731,13.1400023297407,-16.5028394162731,13.1400023297407,"live_measurement_0148","live_measurement_0147","live_measurement_0148","live_measurement_0147","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"85","85","live_measurement_0147|live_measurement_0148"
"live_model_CP16906_2024.10.08_primary.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","86","86","CP16906_2024-10-08_primary feather","CP16906_2024-10-08_primary feather","CP16906","primary","Primary",FALSE,0.205,3.46009977035282,"F",,,"resident","resident","Ailsa observation",173.681912,-42.392022,TRUE,"live_pheno_079|live_pheno_101",2,"CP16906_2024-10-08",1,1,"single_raw","sensitivity",FALSE,,,-13.6498010358103,15.2595855384279,-13.6498010358103,15.2595855384279,-13.6498010358103,15.2595855384279,"live_measurement_0150","live_measurement_0149","live_measurement_0150","live_measurement_0149","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"86","86","live_measurement_0149|live_measurement_0150"
"live_model_CP16938_2024.11.04_breast.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","87","87","CP16938_2024-11-04_breast feather","CP16938_2024-11-04_breast feather","CP16938","breast","Breast",FALSE,0.243,3.47017582461009,"M",,,"NI migrant","migrant","Resighting at Omaha Spit, North Island on March 15",175.727142,-39.291327,TRUE,"live_pheno_036|live_pheno_043",2,"CP16938_2024-11-04",1,1,"single_raw","sensitivity",FALSE,,,-11.7732858837485,13.0505573731248,-11.7732858837485,13.0505573731248,-11.7732858837485,13.0505573731248,"live_measurement_0152","live_measurement_0151","live_measurement_0152","live_measurement_0151","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"87","87","live_measurement_0151|live_measurement_0152"
"live_model_CP16938_2024.11.04_primary.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","88","88","CP16938_2024-11-04_primary feather","CP16938_2024-11-04_primary feather","CP16938","primary","Primary",FALSE,0.252,3.37871813694405,"M",,,"NI migrant","migrant","Resighting at Omaha Spit, North Island on March 15",175.727142,-39.291327,TRUE,"live_pheno_036|live_pheno_043",2,"CP16938_2024-11-04",1,1,"single_raw","sensitivity",FALSE,,,-24.5751595556081,4.03031000921216,-24.5751595556081,4.03031000921216,-24.5751595556081,4.03031000921216,"live_measurement_0154","live_measurement_0153","live_measurement_0154","live_measurement_0153","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"88","88","live_measurement_0153|live_measurement_0154"
"live_model_CP16945_2024.11.13_breast.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","89","89","CP16945_2024-11-13_breast feather","CP16945_2024-11-13_breast feather","CP16945","breast","Breast",FALSE,0.262,3.49665768443661,"M",,,"NI migrant","migrant","Resighting at Omaha Spit, North Island on Jan 12",175.702629005536,-39.379794029519,TRUE,"live_pheno_037|live_pheno_044",2,"CP16945_2024-11-13",1,1,"single_raw","sensitivity",FALSE,,,-11.7238269708072,13.2076893499419,-11.7238269708072,13.2076893499419,-11.7238269708072,13.2076893499419,"live_measurement_0156","live_measurement_0155","live_measurement_0156","live_measurement_0155","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"89","89","live_measurement_0155|live_measurement_0156"
"live_model_CP16945_2024.11.13_primary.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","90","90","CP16945_2024-11-13_primary feather","CP16945_2024-11-13_primary feather","CP16945","primary","Primary",FALSE,0.215,3.45453233485409,"M",,,"NI migrant","migrant","Resighting at Omaha Spit, North Island on Jan 12",175.702629005536,-39.379794029519,TRUE,"live_pheno_037|live_pheno_044",2,"CP16945_2024-11-13",1,1,"single_raw","sensitivity",FALSE,,,-24.6080177935943,4.96402290137249,-24.6080177935943,4.96402290137249,-24.6080177935943,4.96402290137249,"live_measurement_0158","live_measurement_0157","live_measurement_0158","live_measurement_0157","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"90","90","live_measurement_0157|live_measurement_0158"
"live_model_CP16953_2024.11.14_breast.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","91","91","CP16953_2024-11-14_breast feather","CP16953_2024-11-14_breast feather","CP16953","breast","Breast",FALSE,0.315,3.33228931606423,"M",,,"NI migrant","migrant","Resighting at Karaka, North Island on July 20",175.700161037967,-39.3611319735646,TRUE,"live_pheno_038|live_pheno_045",2,"CP16953_2024-11-14",1,1,"single_raw","sensitivity",FALSE,,,-11.1905850372296,18.6186586293908,-11.1905850372296,18.6186586293908,-11.1905850372296,18.6186586293908,"live_measurement_0160","live_measurement_0159","live_measurement_0160","live_measurement_0159","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"91","91","live_measurement_0159|live_measurement_0160"
"live_model_CP16953_2024.11.14_primary.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","92","92","CP16953_2024-11-14_primary feather","CP16953_2024-11-14_primary feather","CP16953","primary","Primary",FALSE,0.221,3.33030835414537,"M",,,"NI migrant","migrant","Resighting at Karaka, North Island on July 20",175.700161037967,-39.3611319735646,TRUE,"live_pheno_038|live_pheno_045",2,"CP16953_2024-11-14",1,1,"single_raw","sensitivity",FALSE,,,-24.7953238387897,6.09923939600272,-24.7953238387897,6.09923939600272,-24.7953238387897,6.09923939600272,"live_measurement_0162","live_measurement_0161","live_measurement_0162","live_measurement_0161","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"92","92","live_measurement_0161|live_measurement_0162"
"live_model_CP16958_2024.12.03_breast.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","93","93","CP16958_2024-12-03_breast feather","CP16958_2024-12-03_breast feather","CP16958","breast","Breast",FALSE,0.229,3.40582247818053,"F",,,"NI migrant","migrant","Resighting at Miranda, North Island on May 17",176.92653497681,-39.5726949814707,TRUE,"live_pheno_039|live_pheno_046",2,"CP16958_2024-12-03",1,1,"single_raw","sensitivity",FALSE,,,-15.333309301501,15.8617503104097,-15.333309301501,15.8617503104097,-15.333309301501,15.8617503104097,"live_measurement_0164","live_measurement_0163","live_measurement_0164","live_measurement_0163","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"93","93","live_measurement_0163|live_measurement_0164"
"live_model_CP16958_2024.12.03_primary.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","94","94","CP16958_2024-12-03_primary feather","CP16958_2024-12-03_primary feather","CP16958","primary","Primary",FALSE,0.234,3.35388413130818,"F",,,"NI migrant","migrant","Resighting at Miranda, North Island on May 17",176.92653497681,-39.5726949814707,TRUE,"live_pheno_039|live_pheno_046",2,"CP16958_2024-12-03",1,1,"single_raw","sensitivity",FALSE,,,-23.3505356424689,12.5582551483587,-23.3505356424689,12.5582551483587,-23.3505356424689,12.5582551483587,"live_measurement_0166","live_measurement_0165","live_measurement_0166","live_measurement_0165","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"94","94","live_measurement_0165|live_measurement_0166"
"live_model_CP16961_2024.12.04_breast.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","95","95","CP16961_2024-12-04_breast feather","CP16961_2024-12-04_breast feather","CP16961","breast","Breast",FALSE,0.209,3.5456990854605,"M",,,"unknown","unknown",,176.893405001611,-39.485479015857,FALSE,"live_pheno_120|live_pheno_138",2,"CP16961_2024-12-04",1,1,"single_raw","sensitivity",FALSE,,,-14.5960619312138,13.4583173789402,-14.5960619312138,13.4583173789402,-14.5960619312138,13.4583173789402,"live_measurement_0168","live_measurement_0167","live_measurement_0168","live_measurement_0167","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"95","95","live_measurement_0167|live_measurement_0168"
"live_model_CP16961_2024.12.04_primary.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","96","96","CP16961_2024-12-04_primary feather","CP16961_2024-12-04_primary feather","CP16961","primary","Primary",FALSE,0.227,3.50286945887626,"M",,,"unknown","unknown",,176.893405001611,-39.485479015857,FALSE,"live_pheno_120|live_pheno_138",2,"CP16961_2024-12-04",1,1,"single_raw","sensitivity",FALSE,,,-19.2336335885078,8.96356343453263,-19.2336335885078,8.96356343453263,-19.2336335885078,8.96356343453263,"live_measurement_0170","live_measurement_0169","live_measurement_0170","live_measurement_0169","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"96","96","live_measurement_0169|live_measurement_0170"
"live_model_CP16962_2024.12.04_breast.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","97|98","98","CP16962_2024-12-04_breast feather|CP16962_2024-12-04_breast feather_rpt","CP16962_2024-12-04_breast feather","CP16962","breast","Breast",TRUE,0.2395,3.39138143089539,"F",,,"unknown","unknown",,176.893405001611,-39.485479015857,FALSE,"live_pheno_121|live_pheno_139",2,"CP16962_2024-12-04",2,1,"explicit_use_selected_row","sensitivity",FALSE,,,-16.314967618285,11.5524349410622,-16.314967618285,11.5524349410622,-16.5685893657156,11.1111624332632,"live_measurement_0172|live_measurement_0174","live_measurement_0171|live_measurement_0173","live_measurement_0174","live_measurement_0173","include","include","keep","keep","Repeat-analysis comment explicitly instructs use of the C value from this assay row.|Retained as a valid repeat observation, but an explicit workbook comment selected another row for the modelling value.","Repeat-analysis comment explicitly instructs use of the N value from this assay row.|Retained as a valid repeat observation, but an explicit workbook comment selected another row for the modelling value.","comment column|green raw","comment column|green raw","aqc_0029|aqc_0030","aqc_0027|aqc_0028",TRUE,TRUE,"green formatting|_rpt suffix|comments","green formatting|_rpt suffix|comments","rpt_only_green","rpt_only_green","resolved_comment_selected_row","resolved_comment_selected_row",TRUE,TRUE,"98","98","live_measurement_0171|live_measurement_0173|live_measurement_0172|live_measurement_0174"
"live_model_CP16962_2024.12.04_primary.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","99","99","CP16962_2024-12-04_primary feather","CP16962_2024-12-04_primary feather","CP16962","primary","Primary",FALSE,0.25,3.41978730739081,"F",,,"unknown","unknown",,176.893405001611,-39.485479015857,FALSE,"live_pheno_121|live_pheno_139",2,"CP16962_2024-12-04",1,1,"single_raw","sensitivity",FALSE,,,-23.072707896496,12.8030948316534,-23.072707896496,12.8030948316534,-23.072707896496,12.8030948316534,"live_measurement_0176","live_measurement_0175","live_measurement_0176","live_measurement_0175","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"99","99","live_measurement_0175|live_measurement_0176"
"live_model_CP16990_2024.10.31_breast.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","100","100","CP16990_2024-10-31_breast feather","CP16990_2024-10-31_breast feather","CP16990","breast","Breast",FALSE,0.236,3.47063194603221,"M",,,"NI migrant","migrant","Resighting at Kaipara Harbour, North Island on Feb 24",176.930825,-39.575394,TRUE,"live_pheno_040|live_pheno_047",2,"CP16990_2024-10-31",1,1,"single_raw","sensitivity",FALSE,,,-12.5570174920222,13.8936712460448,-12.5570174920222,13.8936712460448,-12.5570174920222,13.8936712460448,"live_measurement_0178","live_measurement_0177","live_measurement_0178","live_measurement_0177","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"100","100","live_measurement_0177|live_measurement_0178"
"live_model_CP16990_2024.10.31_primary.feather","live_batch5_cn","data/Master_EA_C_N_SI_Batch 5 Breast and Primary Feathers_LEH_Repeats added_April25_v1_SB_v2.xls","Sample results_C&N","101","101","CP16990_2024-10-31_primary feather","CP16990_2024-10-31_primary feather","CP16990","primary","Primary",FALSE,0.251,3.33290016986395,"M",,,"NI migrant","migrant","Resighting at Kaipara Harbour, North Island on Feb 24",176.930825,-39.575394,TRUE,"live_pheno_040|live_pheno_047",2,"CP16990_2024-10-31",1,1,"single_raw","sensitivity",FALSE,,,-21.3171321356814,11.1108014579245,-21.3171321356814,11.1108014579245,-21.3171321356814,11.1108014579245,"live_measurement_0180","live_measurement_0179","live_measurement_0180","live_measurement_0179","include","include","keep","keep",,,,,,,FALSE,FALSE,,,,,,,TRUE,TRUE,"101","101","live_measurement_0179|live_measurement_0180"
